"","eda","p3","ent","sex","cs_p13_1","e_con","ur","seg_soc","hrsocup","hij5c","mh_fil2","par_c","sal_sem","exp","exp2"
"1061",47,"2812","7","2","6","6","1","2",9,"2","1","101",3225,27,729
"1062",49,"2812","7","1","6","5","1","1",72,"0","3","101",8000,29,841
"1063",17,"5222","7","2","2","6","1","2",0,"1","2","413",1290,5,25
"1064",21,"5222","7","1","4","6","1","2",24,"0","2","301",1935,3,9
"1065",20,"5222","7","2","7","6","1","2",15,"1","2","301",1720,1,1
"1066",41,"2811","7","2","6","3","1","1",48,"2","3","101",10750,20,400
"1067",44,"9722","7","2","7","5","1","1",40,"1","3","201",10000,21,441
"1068",75,"5222","2","2","0","4","2","2",40,"4","2","101",4300,69,4761
"1069",28,"5222","2","2","3","5","2","2",40,"3","2","201",6450,13,169
"1070",48,"5222","2","2","3","5","2","2",35,"2","1","201",7740,33,1089
"1071",30,"2811","5","2","6","5","2","1",36,"1","3","201",10750,12,144
"1072",17,"5222","5","2","4","6","2","2",3,"1","2","301",860,1,1
"1073",20,"5222","5","2","4","6","2","2",7,"1","2","301",860,2,4
"1074",47,"5222","5","2","3","5","2","2",24,"2","2","201",4300,32,1024
"1075",47,"5222","5","2","2","1","2","2",30,"4","2","201",3010,35,1225
"1076",54,"5222","5","2","3","5","2","2",40,"3","2","201",4300,39,1521
"1077",52,"5222","5","2","3","1","2","2",24,"1","2","101",3010,37,1369
"1078",13,"9722","6","2","2","6","2","2",2,"1","3","301",430,1,1
"1079",56,"9722","6","1","4","1","2","2",0,"0","3","101",860,38,1444
"1080",57,"5113","6","2","2","5","2","2",16,"3","2","201",5160,47,2209
"1081",54,"5222","6","2","4","2","2","2",45,"2","1","301",4300,36,1296
"1082",20,"5222","6","2","4","6","2","2",30,"1","2","301",4300,2,4
"1083",39,"9722","6","1","4","5","2","1",50,"0","3","101",7000,23,529
"1084",53,"5113","6","2","4","6","2","2",37,"1","2","301",5160,35,1225
"1085",48,"5222","6","2","7","6","2","2",20,"1","2","301",5160,27,729
"1086",35,"5222","6","2","4","5","2","2",50,"1","1","201",8600,17,289
"1087",45,"5113","6","2","3","5","2","2",12,"3","2","201",6450,30,900
"1088",53,"5222","6","2","2","5","2","2",45,"3","1","101",1000,41,1681
"1089",64,"5222","6","2","0","4","2","2",38,"3","2","401",2150,58,3364
"1090",50,"5222","6","2","2","4","2","2",16,"3","1","101",860,38,1444
"1091",37,"5222","7","2","8","6","2","2",41,"1","3","601",2000,13,169
"1092",44,"5113","7","2","3","1","2","2",54,"1","2","201",4300,29,841
"1093",27,"2811","7","2","7","5","2","1",56,"2","3","418",5500,5,25
"1094",46,"5222","8","2","3","5","2","2",40,"3","2","201",2580,31,961
"1095",60,"5222","8","2","2","3","2","2",32,"3","2","401",4300,48,2304
"1096",41,"5222","8","2","4","5","2","2",35,"2","2","201",6020,23,529
