"SEXO","EDAD","ENT","ESC","urbano","TIEMPO_TOTAL","SIT_CONYUGAL","INDIGENA","TIPO_TRABAJO","PROGRAMA_SOCIAL","SEGURO_MEDICO","PAREN","TIEMPO_CHOF","TIEMPO_COCIN","TIEMPO_ENF_TEC","TIEMPO_FISIO","TIEMPO_CUID","NUM_PER","esc_jefe","jefatura_femenina","edad_jefe","SAL_SEM"
1,56,1,0,1,0,2,1,1,0,1,1,0,0,0,0,0,2,0,1,56,1200
0,38,1,12,1,0,6,1,1,0,0,3,0,0,0,0,0,2,0,1,56,800
1,63,1,4,1,0.666666666666667,5,0,4,0,1,1,0,0,0.666666666666667,0,0,7,2,1,63,200
1,38,1,15,1,2.5,3,0,1,0,1,3,0,0,2.5,0,0,7,2,1,63,1250
1,27,1,15,1,0,6,0,1,0,0,3,0,0,0,0,0,7,2,1,63,1750
1,13,1,8,1,0,6,0,NA,0,1,4,0,0,0,0,0,7,2,1,63,NA
0,52,1,6,1,0,3,0,1,0,1,1,0,0,0,0,0,1,3,0,52,1500
1,67,1,12,1,0,4,1,4,0,1,1,0,0,0,0,0,5,9,1,67,50
1,33,1,22,1,0,6,0,1,0,1,3,0,0,0,0,0,5,9,1,67,2500
1,26,1,12,1,0,2,0,1,0,1,3,0,0,0,0,0,5,9,1,67,850
1,40,1,12,1,0,5,1,1,0,1,1,0,0,0,0,0,5,9,1,40,1200
1,37,1,15,1,0,3,0,1,0,1,1,0,0,0,0,0,2,12,1,37,1000
1,29,1,20,1,0,6,0,1,0,1,3,0,0,0,0,0,2,12,1,37,2000
0,40,1,22,1,0,5,0,4,0,1,1,0,0,0,0,0,2,17,0,40,3000
0,23,1,18,1,0,6,0,1,0,1,8,0,0,0,0,0,2,17,0,40,1900
0,41,1,12,1,0,5,0,4,0,1,1,0,0,0,0,0,6,9,0,41,2800
1,36,1,11,1,0,5,1,NA,0,1,2,0,0,0,0,0,6,9,0,41,NA
1,18,1,11,1,0,6,0,1,0,1,3,0,0,0,0,0,6,9,0,41,1200
1,15,1,12,1,0,6,0,NA,0,1,3,0,0,0,0,0,6,9,0,41,NA
1,58,1,0,1,0,2,1,1,0,1,1,0,0,0,0,0,2,0,1,58,1500
1,24,1,15,1,0,6,1,1,0,1,3,0,0,0,0,0,2,0,1,58,1400
1,95,1,12,1,0,4,1,NA,0,1,1,0,0,0,0,0,1,6,1,95,NA
0,71,1,15,1,100,5,0,NA,0,1,1,0,0,0,0,100,4,12,0,71,NA
1,69,1,12,1,94,5,0,NA,0,1,2,0,0,0,0,94,4,12,0,71,NA
1,40,1,22,1,35,6,0,1,0,1,3,0,0,0,0,35,4,12,0,71,3500
1,56,1,8,1,0,6,1,1,0,1,1,0,0,0,0,0,3,7,1,56,920
0,18,1,12,1,0,6,0,1,0,1,3,0,0,0,0,0,3,7,1,56,1400
1,32,1,12,1,0,1,0,NA,0,1,2,0,0,0,0,0,5,12,0,22,NA
0,22,1,15,1,0,1,0,1,0,1,1,0,0,0,0,0,5,12,0,22,1600
0,64,1,12,1,0,3,0,4,0,1,1,0,0,0,0,0,1,9,0,64,NA
0,23,1,15,1,0,6,0,1,0,1,3,0,0,0,0,0,4,NA,1,43,875
1,91,1,4,1,0,4,0,NA,0,1,1,0,0,0,0,0,1,2,1,91,NA
1,60,1,12,1,0,6,0,1,0,1,1,0,0,0,0,0,3,6,1,60,2300
1,58,1,12,1,0,6,0,1,0,1,7,0,0,0,0,0,3,6,1,60,1200
1,56,1,12,1,0,6,0,NA,0,0,7,0,0,0,0,0,3,6,1,60,NA
0,59,1,12,1,0,5,0,1,0,1,1,0,0,0,0,0,3,6,0,59,700
1,60,1,12,1,0,5,1,NA,0,1,2,0,0,0,0,0,3,6,0,59,NA
0,27,1,22,1,0,6,0,1,0,0,3,0,0,0,0,0,3,6,0,59,5000
1,42,1,12,1,0,5,1,NA,0,1,2,0,0,0,0,0,4,NA,0,41,NA
1,15,1,12,1,0,6,0,NA,0,1,3,0,0,0,0,0,4,NA,0,41,NA
0,60,1,11,1,0,5,0,5,0,0,1,0,0,0,0,0,3,10,0,60,3000
1,57,1,12,1,0,5,1,NA,0,0,2,0,0,0,0,0,3,10,0,60,NA
1,23,1,20,1,0,6,0,1,0,1,3,0,0,0,0,0,3,10,0,60,1250
0,25,1,15,1,0,1,0,5,0,1,1,0,0,0,0,0,2,12,0,25,6000
1,25,1,20,1,0,1,0,1,0,1,2,0,0,0,0,0,2,12,0,25,2000
0,79,1,6,1,2.5,5,0,NA,0,1,1,2.5,0,0,0,0,3,3,0,79,NA
1,77,1,15,1,0,5,0,NA,0,1,2,0,0,0,0,0,3,3,0,79,NA
1,49,1,15,1,0,6,1,NA,0,0,3,0,0,0,0,0,3,3,0,79,NA
1,61,1,6,1,0,5,0,1,0,1,1,0,0,0,0,0,3,3,1,61,750
0,62,1,12,1,0,5,1,4,0,1,2,0,0,0,0,0,3,3,1,61,750
0,29,1,20,1,0,6,1,1,0,1,3,0,0,0,0,0,3,3,1,61,1750
0,65,1,8,1,0,5,0,1,0,0,1,0,0,0,0,0,5,4,0,65,300
1,51,1,12,1,0,5,0,NA,0,0,2,0,0,0,0,0,5,4,0,65,NA
1,29,1,20,1,0,2,1,1,0,1,3,0,0,0,0,0,5,4,0,65,1550
1,22,1,20,1,0,6,1,NA,0,0,3,0,0,0,0,0,5,4,0,65,NA
0,57,1,15,1,0,5,0,NA,0,1,1,0,0,0,0,0,5,12,0,57,NA
